On Connect Click (Before):

    154770 function calls (143511 primitive calls) in 1.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      138    0.000    0.000    0.003    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:155(getParser)
    15200    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      414    0.001    0.000    0.002    0.000 C:\Program Files\Python311\Lib\socket.py:99(_intenum_converter)
    10653    0.002    0.000    0.002    0.000 C:\Program Files\Python311\Lib\xml\dom\minidom.py:1033(_set_data)
    72/69    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
      138    0.000    0.000    0.002    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:809(reset)
      633    0.001    0.000    0.002    0.000 c:\Users\ahmed\Documents\GitHub\Iconit-PS4\environment.py:115(<lambda>)
      207    0.001    0.000    0.002    0.000 C:\Program Files\Python311\Lib\encodings\idna.py:145(encode)
     1034    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
       69    0.001    0.000    0.002    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:137(__init__)
     1034    0.001    0.000    0.002    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1167(_find_and_load)
       69    0.000    0.000    0.002    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:719(createParser)
      414    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\enum.py:689(__call__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      829    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      138    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:166(reset)
      830    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\json\encoder.py:414(_iterencode)
       69    0.001    0.000    0.001    0.000 {built-in method pyexpat.ParserCreate}
     4124    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:666(_load_unlocked)
 1520/830    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\json\encoder.py:334(_iterencode_dict)
      138    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\minidom.py:1433(createDocument)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
      207    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       69    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:346(first_element_handler)
     1405    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\minidom.py:701(_ensure_attributes)
      207    0.001    0.000    0.001    0.000 {method 'getpeername' of '_socket.socket' objects}
     1172    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\socket.py:731(readable)
      633    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       69    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:725(install)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
      414    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\enum.py:1094(__new__)
      138    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\minidom.py:1493(_create_document)
     3593    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      829    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\encodings\cp1252.py:18(encode)
      897    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       69    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\xml\dom\expatbuilder.py:174(install)
     1034    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       69    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\socket.py:680(__init__)
     1051    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       69    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\socket.py:769(close)


Parsing game title from local database (After):
    374 function calls in 0.008 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007    0.007    0.007 {method 'readlines' of '_io._IOBase' objects}
      184    0.000    0.000    0.001    0.000 <frozen codecs>:319(decode)
      184    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
